,loc_neighborhood,loc_City,coffee_shop_density,business_density,mean_price,mean_rating,mean_review_count,mean_goog_search,Avg_income_neighborhood,geom_mean_tt,rating_stdev,review_stdev,pct_fancy_donuts,pct_bakeries,pct_corporate,pct_tea_and_juice,pct_grab_and_go,pct_third_wave,pct_independent,Avg_Utility_Score,Count
2208,Midtown,Detroit,10.251341324083366,4592.600913189348,1.4285714285714286,3.982142857142857,169.96428571428572,4.321428571428571,32073.332999999988,975.0600000000003,0.7513215869280793,225.98942652139922,0.0,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.0,0.8571428571428571,849.3262142857145,28
2209,Millenium Village,Detroit,2.837271688389977,641.2234015761347,1.5,4.25,165.0,2.5,11143.667,975.06,0.28867513459481275,97.41663102366043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,684.49575,4
2235,Mohican Regent,Detroit,1.9980037278936458,561.4390475381144,1.0,4.25,4.0,2.5,50577.5,975.06,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,16.7335,2
2210,Morningside,Detroit,0.2341075519058118,64.61368432600406,2.0,3.5,53.0,5.0,71066.0,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,241.15,1
2178,New Center,Detroit,7.829325165947448,3437.0737478509295,1.5,3.0833333333333335,15.5,4.333333333333333,31912.0,975.0599999999998,1.1583033569262704,9.027735042633893,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,45.836333333333336,6
2179,North Rosedale Park,Detroit,0.9756772800878687,203.91655153836456,1.5,5.0,17.0,2.5,51400.333,975.06,0.0,19.79898987322333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82.1665,2
2211,Oakwood Heights,Detroit,0.4638231231842881,40.352611717033064,1.0,4.5,33.0,0.0,10933.0,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,141.075,1
2236,Old Redford,Detroit,2.2057683569940467,897.7477212965771,2.0,4.5,81.0,5.0,93502.833,975.06,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,364.5,1
2212,Petosky-Otsego,Detroit,0.2200427335550481,21.12410242128462,1.0,5.0,10.0,5.0,25332.0,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.333,1
2256,Riverdale,Detroit,0.5074292677506179,206.5237119745015,1.0,3.75,15.0,2.5,93502.833,975.06,0.3535533905932738,8.48528137423857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.825,2
